relationship_id,source,target,type,reason
R001,DOC-001,DOC-002,derived_from,Witness information extracted from initial FIR complaint
R002,DOC-001,DOC-003,derived_from,Evidence hard drives seized pursuant to FIR allegations
R003,DOC-003,DOC-004,referenced_from,Crime scene photography documenting physical seizure
R004,DOC-003,DOC-005,derived_from,Forensic extraction performed on seized server hard drive
R005,DOC-002,DOC-006,referenced_from,Investigation findings citing witness statement corroboration
R006,DOC-005,DOC-006,derived_from,Forensic findings establishing suspect malware MAC address
R007,DOC-006,DOC-007,merged_from,Supplementary financial layering trail merged into investigation
R008,DOC-006,DOC-008,derived_from,Final charge sheet preparation based on investigation findings
R009,DOC-008,DOC-009,derived_from,Court submission filing incorporating final charge sheet
R010,DOC-008,DOC-010,translated_from,Certified Hindi translation of primary charge sheet for court service
R011,DOC-002,DOC-011,redacted_from,PII redaction scrubbing phone numbers and address for public record
R012,DOC-006,DOC-012,revised_from,Investigation report revised with offshore banking updates
R020,DOC-020,DOC-021,derived_from,Malware decompilation from encrypted server backup
R021,DOC-021,DOC-022,derived_from,Cyber terrorism charge sheet prepared from C2 server trace
R030,DOC-030,DOC-031,derived_from,Forged bank guarantee seized during FIR investigation
R031,DOC-031,DOC-032,derived_from,Ink chemistry & handwriting analysis of forged signature
