document_id,case_id,document_type,title,created_by,created_at,version,status,classification,file_path,hash_algorithm,hash,content_text
DOC-001,CASE-001,FIR,First Information Report (FIR-2026-8801),OFF-001,2026-08-10 10:30,1,Verified,Confidential,/documents/DOC-001_FIR.pdf,SHA-256,f4e9930910a7857a9d798f5df776245932a088199775ae7b7ea8dc241c7bd13a,"Complainant alleges unauthorized wire transfer of Rs 45,00,000 from corporate escrow account via spoofed banking IP addresses."
DOC-002,CASE-001,Witness Statement,Witness Statement of Bank Nodal Officer,OFF-001,2026-08-10 14:15,1,Verified,Confidential,/documents/DOC-002_Witness_Statement.pdf,SHA-256,3be09792dba45bc2c0b4093b5dd7d413997d24c8b272c89a8b6f545be59b33ce,Witness Suresh Patel confirms login attempt from IP 192.168.1.45 using compromise admin credentials.
DOC-003,CASE-001,Evidence Record,Seizure Memo of Server Hard Drive,OFF-001,2026-08-11 09:45,1,Verified,Highly Confidential,/documents/DOC-003_Evidence_Record.pdf,SHA-256,0d49a6683c21777ddf423efd644a6b0441e5fecbd6e4bc533e9d4dcb48a17aad,Physical seizure of RAID 5 storage array from server room at Sector 62 Noida. Hardware serial: WD-9921-X.
DOC-004,CASE-001,Evidence Photo,Crime Scene Physical Media Photograph,OFF-002,2026-08-11 11:20,1,Verified,Restricted,/documents/DOC-004_Evidence_Photo.pdf,SHA-256,d5048d1de702f0a5d4ee6e66f679bd85c0b2dc4b8f77090e433885f3b5a99491,"High-resolution photographic capture of seized server rack, unbroken anti-tamper security seals, and port connections."
DOC-005,CASE-001,Forensic Report,CFSL Cyber Forensic Analysis Report,LAB-001,2026-08-12 16:00,1,Verified,Highly Confidential,/documents/DOC-005_Forensic_Report.pdf,SHA-256,0f983d05ce2f88989397f53206c465ae65df6c432156cced38f6b30564b7b15a,Disk image analysis revealed malware payload 'Ratchet-V2' injected at 03:14 AM. MAC address traced to suspect Arun Kumar.
DOC-006,CASE-001,Investigation Report,Interim Investigation Findings Report,OFF-001,2026-08-13 11:00,2,Verified,Confidential,/documents/DOC-006_Investigation_Report.pdf,SHA-256,b35075fd4cdbc44217e7b0dd60c46bc30afc7283d78f1f50f85f7c907513ea28,Correlating forensic report DOC-005 and witness statement DOC-002 confirms primary suspect involvement of Arun Kumar.
DOC-007,CASE-001,Supplementary Report,Supplementary Financial Trail Report,OFF-002,2026-08-14 10:30,1,Verified,Confidential,/documents/DOC-007_Supplementary_Report.pdf,SHA-256,21644d867bab84dddc142f3cf9681fc11ed4d239d766a08149d14dfe2365e245,Bank transaction logs reveal immediate layering into cryptocurrency wallets across 3 offshore exchanges.
DOC-008,CASE-001,Charge Sheet,Final Charge Sheet under IPC 420 & IT Act 66D,OFF-001,2026-08-15 15:30,1,Verified,Confidential,/documents/DOC-008_Charge_Sheet.pdf,SHA-256,57683364c902b90391420cc9daf2cfacf5c37d8e5900eae4ab4f9e8c5e2f395d,Comprehensive formal charge sheet establishing accused Arun Kumar's guilt under IT Act Section 66D and IPC Section 420.
DOC-009,CASE-001,Court Submission,District Court Evidentiary Filing,PRO-001,2026-08-16 11:00,1,Verified,Confidential,/documents/DOC-009_Court_Submission.pdf,SHA-256,0b22829c4afb14cf64e1d9d7e9e072faddd183ea4300cae89e2a5e196d98f40f,Official filing to Judicial Magistrate requesting remand and asset freezing orders based on charge sheet DOC-008.
DOC-010,CASE-001,Translated Charge Sheet,Charge Sheet Hindi Regional Translation,OFF-002,2026-08-16 14:00,1,Verified,Public Record,/documents/DOC-010_Translated_Charge_Sheet.pdf,SHA-256,9232b7c2a4062efc9a55d0652cb9a04e47cc176cf4699a04d02d7fedea17a37a,Official certified Hindi translation of Charge Sheet DOC-008 for court record and accused copy service.
DOC-011,CASE-001,Redacted Witness Statement,Redacted Witness Statement for Public Record,OFF-001,2026-08-17 09:30,1,Verified,Public Record,/documents/DOC-011_Redacted_Witness_Statement.pdf,SHA-256,e47b97f597b80ce8714f04fa7bec9c2bee1d7929e041e2230f8f90d6ae84af09,"Redacted derivative of DOC-002 scrubbing PII numbers, home address, and phone details pursuant to Section 44."
